status,bed,bath,acre_lot,city,state,house_size,price
for_sale,4.0,5.0,24.0,Tewksbury Township,New Jersey,7000.0,1950000.0
for_sale,2.0,1.0,0.44,Oneida,New York,965.0,120000.0
for_sale,6.0,4.0,0.2,Ashland,Massachusetts,2500.0,640000.0
for_sale,5.0,3.0,0.12,Rochester,New Hampshire,2866.0,365000.0
for_sale,3.0,2.0,0.23,East Falmouth,Massachusetts,1138.0,675000.0
for_sale,4.0,5.0,13.0,Oxford,Massachusetts,4591.0,949000.0
for_sale,4.0,2.0,0.1,Stone Harbor,New Jersey,1500.0,2099000.0
for_sale,3.0,2.0,0.31,Vineland,New Jersey,1296.0,239000.0
for_sale,5.0,6.0,1.84,Kinderhook,New York,3769.0,1325000.0
for_sale,4.0,4.0,1.4,Burlington,Connecticut,3179.0,793756.0
for_sale,3.0,1.0,0.36,Bloomfield,Connecticut,994.0,179900.0
for_sale,3.0,1.0,0.14,Hempstead,New York,1480.0,435000.0
for_sale,3.0,3.0,0.06,Brooklyn,New York,1200.0,394900.0
for_sale,4.0,3.0,0.32,Minoa,New York,1742.0,249900.0
for_sale,9.0,5.0,0.24,Leominster,Massachusetts,3148.0,599900.0
for_sale,3.0,2.0,1.58,Hooksett,New Hampshire,2304.0,469900.0
for_sale,3.0,2.0,0.17,Boston,Massachusetts,1024.0,525000.0
for_sale,3.0,1.0,1.04,Brunswick,Maine,1170.0,320000.0
for_sale,3.0,3.0,1.0,East Greenwich,Rhode Island,2584.0,794900.0
for_sale,4.0,4.0,0.83,Smithfield,Rhode Island,3248.0,674900.0
for_sale,4.0,3.0,1.91,Poughkeepsie,New York,3040.0,695000.0
for_sale,4.0,2.0,0.13,Waterford,New York,2500.0,235000.0
for_sale,2.0,2.0,0.01,Staten Island,New York,1480.0,525900.0
for_sale,11.0,4.0,0.1,Waterville,Maine,4590.0,225900.0
for_sale,5.0,3.0,0.25,Garden City,New York,3000.0,948888.0
for_sale,2.0,1.0,0.25,Philmont,New York,806.0,215000.0
for_sale,4.0,3.0,0.14,Great Neck,New York,1800.0,1188000.0
for_sale,4.0,3.0,0.43,East Greenbush,New York,1644.0,249900.0
for_sale,2.0,1.0,0.06,Harpswell,Maine,669.0,200000.0
for_sale,4.0,5.0,0.92,Seekonk,Massachusetts,4178.0,1700000.0
for_sale,3.0,2.0,0.14,Enfield,Connecticut,1456.0,295000.0
for_sale,4.0,3.0,0.5,Hamden,Connecticut,1680.0,335000.0
for_sale,4.0,2.0,0.48,Windsor Locks,Connecticut,960.0,269900.0
for_sale,3.0,2.0,0.13,Endicott,New York,1390.0,140000.0
for_sale,3.0,1.0,0.3,Peekskill,New York,1440.0,415000.0
for_sale,4.0,2.0,0.59,Suffield,Connecticut,2091.0,399700.0
for_sale,3.0,2.0,0.11,Woonsocket,Rhode Island,1425.0,269900.0
for_sale,4.0,3.0,0.23,Flushing,New York,2132.0,1750000.0
for_sale,8.0,3.0,0.5,Tiverton,Rhode Island,2300.0,509000.0
for_sale,4.0,3.0,0.2,Colonie,New York,2850.0,539900.0
for_sale,2.0,1.0,0.03,Trenton,New Jersey,896.0,95000.0
for_sale,5.0,2.0,0.04,Guayama,Puerto Rico,1800.0,53000.0
for_sale,3.0,5.0,3.15,Nantucket,Massachusetts,2979.0,5450000.0
for_sale,3.0,1.0,0.11,Coxsackie,New York,1632.0,209900.0
for_sale,4.0,1.0,0.02,Philadelphia,Pennsylvania,1036.0,129900.0
for_sale,2.0,1.0,0.23,South Yarmouth,Massachusetts,864.0,450000.0
for_sale,3.0,1.0,0.48,Chester,New York,1056.0,295000.0
for_sale,4.0,2.0,0.27,Boylston,Massachusetts,1684.0,524900.0
for_sale,4.0,2.0,0.04,Albany,New York,3036.0,65000.0
for_sale,5.0,2.0,33.23,Otego,New York,2415.0,550000.0
for_sale,3.0,3.0,0.09,Belleville,New Jersey,1600.0,479900.0
