status,bed,bath,acre_lot,city,state,house_size,price
for_sale,28.0,16.0,0.13,Holyoke,Massachusetts,9999.0,1500000.0
for_sale,2.0,1.0,1.3,Charlestown,New Hampshire,1689.0,165000.0
for_sale,4.0,1.0,0.17,Syracuse,New York,1793.0,78500.0
for_sale,4.0,4.0,2.5,Eddington,Maine,2932.0,425975.0
for_sale,3.0,4.0,7.2,Olivebridge,New York,2181.0,850000.0
for_sale,1.0,1.0,0.2,Alton,New Hampshire,864.0,200000.0
for_sale,4.0,3.0,0.41,Danvers,Massachusetts,2920.0,799900.0
for_sale,3.0,2.0,0.13,San Juan,Puerto Rico,1528.0,225000.0
for_sale,5.0,5.0,2.63,Briarcliff Manor,New York,5061.0,2395000.0
for_sale,4.0,2.0,0.18,Williamsville,New York,1377.0,309900.0
for_sale,4.0,2.0,0.27,Rotterdam,New York,16886.0,295000.0
for_sale,4.0,3.0,0.57,Danbury,Connecticut,1630.0,589900.0
for_sale,4.0,2.0,0.05,Bordentown,New Jersey,1652.0,265000.0
for_sale,3.0,2.0,0.39,Meriden,Connecticut,1760.0,329900.0
for_sale,3.0,3.0,0.29,Wall,New Jersey,2600.0,875000.0
for_sale,6.0,3.0,0.07,Somerville,Massachusetts,2931.0,1199000.0
for_sale,4.0,3.0,0.14,Massapequa,New York,2750.0,1070000.0
for_sale,6.0,3.0,0.18,Boston,Massachusetts,3776.0,1335000.0
for_sale,1.0,1.0,0.03,Woodbury,Vermont,1080.0,269000.0
for_sale,5.0,3.0,0.17,Howard Beach,New York,2871.0,1050000.0
for_sale,2.0,2.0,0.08,Williamstown,New Jersey,1567.0,304900.0
for_sale,3.0,2.0,0.1,Lares,Puerto Rico,4161.0,155000.0
for_sale,7.0,2.0,0.03,Toa Baja,Puerto Rico,1130.0,43700.0
for_sale,2.0,3.0,0.46,Colonie,New York,2423.0,370000.0
for_sale,2.0,1.0,0.05,Piermont,New York,943.0,399000.0
for_sale,3.0,3.0,1.08,New City,New York,3250.0,699000.0
for_sale,4.0,4.0,0.79,Windsor,Connecticut,3592.0,699900.0
for_sale,5.0,3.0,0.19,Bethlehem,New York,2950.0,474400.0
for_sale,4.0,2.0,1.43,Ellington,Connecticut,1758.0,349900.0
for_sale,3.0,2.0,0.78,Wappingers Falls,New York,1808.0,360000.0
for_sale,3.0,2.0,0.21,Worcester,Massachusetts,1388.0,209900.0
