iter	RMSE
0	1448315.685
1	1395872.13
2	1348114.906
3	1306718.873
4	1270156.58
5	1238728.548
6	1211199.438
7	1186842.682
8	1163375.25
9	1144646.033
10	1127025.477
11	1112206.981
12	1098634.05
13	1086491.828
14	1075226.018
15	1062533.821
16	1052689.182
17	1042738.589
18	1031095.713
19	1024215.711
20	1017731.947
21	1011315.006
22	1005385.349
23	996079.4842
24	989761.0662
25	983373.2766
26	977843.1428
27	974030.6476
28	968644.2791
29	965093.6198
30	961203.0169
31	954569.5996
32	947987.0527
33	942541.1793
34	937481.6935
35	933615.5456
36	929131.6758
37	925170.1653
38	919819.8404
39	917394.8817
40	915768.6032
41	911210.6922
42	909843.0678
43	906908.8202
44	903436.9597
45	900262.7578
46	898428.3476
47	895156.9839
48	892163.1505
49	890141.5839
50	887593.4495
51	886221.3582
52	884873.1894
53	880637.7487
54	877250.0858
55	874812.7944
56	872184.8839
57	870749.6133
58	868967.9853
59	864506.5637
60	862036.5319
61	860422.8811
62	859384.0202
63	854869.4662
64	854193.7397
65	849869.2769
66	848518.3228
67	846675.5774
68	843034.5056
69	842318.5579
70	838673.8007
