iter	Passed	Remaining
0	43	4286
1	86	4237
2	128	4140
3	169	4076
4	210	3997
5	253	3965
6	296	3940
7	340	3912
8	384	3891
9	430	3873
10	472	3820
11	512	3758
12	552	3697
13	611	3757
14	690	3912
15	736	3864
16	782	3818
17	825	3761
18	876	3734
19	915	3662
20	954	3591
21	997	3535
22	1042	3490
23	1156	3661
24	1209	3629
25	1252	3565
26	1297	3508
27	1338	3440
28	1380	3379
29	1424	3323
30	1470	3273
31	1515	3219
32	1565	3177
33	1618	3141
34	1666	3094
35	1711	3042
36	1758	2994
37	1805	2945
38	1847	2890
39	1890	2835
40	1929	2776
41	1971	2722
42	2011	2666
43	2060	2621
44	2104	2571
45	2157	2532
46	2203	2484
47	2250	2437
48	2298	2392
49	2344	2344
50	2384	2291
51	2435	2248
52	2496	2214
53	2542	2165
54	2590	2119
55	2631	2067
56	2684	2025
57	2730	1977
58	2789	1938
59	2839	1893
60	2886	1845
61	2933	1797
62	2986	1753
63	3039	1709
64	3088	1663
65	3140	1618
66	3187	1570
67	3241	1525
68	3289	1478
69	3342	1432
70	3389	1384
